# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  122       4.606198172764e-10       1.404316615486e-13      -4.966842664688e-12       6.170340843538e-16       5.970601218503e-12       9.228469033712e-13      -5.756682542739e-15 
  123       4.652451846584e-10       1.415465411097e-13      -5.039909408163e-12       6.275900893215e-16       5.838344100538e-12       9.070063198404e-13      -5.682460969141e-15 
  124       4.698782047822e-10       1.426040355241e-13      -5.111398829129e-12       6.382556507576e-16       5.709471499249e-12       8.914808965382e-13      -5.607482087683e-15 
  125       4.745181565782e-10       1.436031221602e-13      -5.181240556460e-12       6.490315433694e-16       5.583997059948e-12       8.762776303033e-13      -5.531919834265e-15 
  126       4.791642503159e-10       1.445428299064e-13      -5.249364495436e-12       6.599185501875e-16       5.461917700387e-12       8.614019600320e-13      -5.455954328233e-15 
  127       4.838156256059e-10       1.454222407692e-13      -5.315700863452e-12       6.709174625314e-16       5.343213124128e-12       8.468577173444e-13      -5.379771934266e-15 
  128       4.884713494008e-10       1.462404914715e-13      -5.380180225726e-12       6.820290799752e-16       5.227845333922e-12       8.326470772499e-13      -5.303565324260e-15 
  129       4.931304139977e-10       1.469967750504e-13      -5.442733531002e-12       6.932542103133e-16       5.115758145081e-12       8.187705088140e-13      -5.227533539217e-15 
  130       4.977917350390e-10       1.476903424557e-13      -5.503292147263e-12       7.045936695260e-16       5.006876698854e-12       8.052267258242e-13      -5.151882051132e-15 
  131       5.024541495145e-10       1.483205041479e-13      -5.561787897436e-12       7.160482817452e-16       4.901106975803e-12       7.920126374559e-13      -5.076822824875e-15 
  132       5.071164137630e-10       1.488866316961e-13      -5.618153095097e-12       7.276188792199e-16       4.798335309176e-12       7.791232989389e-13      -5.002574380081e-15 
  133       5.117772014734e-10       1.493881593764e-13      -5.672320580186e-12       7.393063022821e-16       4.698427898285e-12       7.665518622233e-13      -4.929361853036e-15 
  134       5.164351016871e-10       1.498245857699e-13      -5.724223754705e-12       7.511113993123e-16       4.601230321880e-12       7.542895266457e-13      -4.857417058561e-15 
  135       5.210886167988e-10       1.501954753610e-13      -5.773796618432e-12       7.630350267052e-16       4.506567051521e-12       7.423254895954e-13      -4.786978551901e-15 
  136       5.257361605588e-10       1.505004601351e-13      -5.820973804629e-12       7.750780488354e-16       4.414240964958e-12       7.306468971805e-13      -4.718291690610e-15 
  137       5.303761945794e-10       1.507392685399e-13      -5.865691228286e-12       7.872413107837e-16       4.324075177226e-12       7.192414164649e-13      -4.651548633390e-15 
  138       5.350076580285e-10       1.509118123669e-13      -5.907888031001e-12       7.995255534045e-16       4.236044449405e-12       7.081053570170e-13      -4.586701198187e-15 
  139       5.396295788184e-10       1.510181119323e-13      -5.947504905996e-12       8.119314893638e-16       4.150156518573e-12       6.972363001457e-13      -4.523628665992e-15 
  140       5.442409379814e-10       1.510582712759e-13      -5.984483542863e-12       8.244598293843e-16       4.066410784183e-12       6.866305203454e-13      -4.462195789940e-15 
