# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
  315       4.665229645692e-10       2.550116967554e-13       5.799000734387e-14 
  316       4.621840735314e-10       2.520423107399e-13       5.713572229290e-14 
  317       4.578568258918e-10       2.491175529910e-13       5.629245418341e-14 
  318       4.535425550670e-10       2.462366599889e-13       5.546001662097e-14 
  319       4.492426052051e-10       2.433988210697e-13       5.463821131954e-14 
  320       4.449583311818e-10       2.406031779646e-13       5.382682798466e-14 
  321       4.406910985962e-10       2.378488243398e-13       5.302564419662e-14 
  322       4.364422837660e-10       2.351348053353e-13       5.223442529363e-14 
  323       4.322132737243e-10       2.324601171052e-13       5.145292425502e-14 
  324       4.280054662144e-10       2.298237063564e-13       5.068088158437e-14 
  325       4.238202696859e-10       2.272244698890e-13       4.991802519277e-14 
  326       4.196591032909e-10       2.246612541347e-13       4.916407028192e-14 
  327       4.155233968790e-10       2.221328546973e-13       4.841871922734e-14 
  328       4.114145909936e-10       2.196380158916e-13       4.768166146157e-14 
  329       4.073341368675e-10       2.171754302831e-13       4.695257335728e-14 
  330       4.032834964188e-10       2.147437382273e-13       4.623111811055e-14 
  331       3.992641422465e-10       2.123415274094e-13       4.551694562395e-14 
  332       3.952774435084e-10       2.099675905889e-13       4.480976169439e-14 
  333       3.913243180636e-10       2.076217121971e-13       4.410953915007e-14 
  334       3.874055651420e-10       2.053039151649e-13       4.341631569866e-14 
  335       3.835219779651e-10       2.030142056337e-13       4.273012541233e-14 
  336       3.796743436178e-10       2.007525727755e-13       4.205099868618e-14 
  337       3.758634429205e-10       1.985189886126e-13       4.137896219659e-14 
  338       3.720900503013e-10       1.963134078375e-13       4.071403885966e-14 
  339       3.683549336671e-10       1.941357676323e-13       4.005624778963e-14 
  340       3.646588542762e-10       1.919859874888e-13       3.940560425722e-14 
  341       3.610025666101e-10       1.898639690280e-13       3.876211964811e-14 
  342       3.573868182451e-10       1.877695958201e-13       3.812580142128e-14 
  343       3.538123497243e-10       1.857027332040e-13       3.749665306745e-14 
  344       3.502798944299e-10       1.836632281072e-13       3.687467406746e-14 
  345       3.467901784546e-10       1.816509088654e-13       3.625985985070e-14 
  346       3.433439204736e-10       1.796655850427e-13       3.565220175348e-14 
  347       3.399418316167e-10       1.777070472506e-13       3.505168697747e-14 
  348       3.365846153402e-10       1.757750669684e-13       3.445829854808e-14 
  349       3.332729672986e-10       1.738693963628e-13       3.387201527285e-14 
  350       3.300075752165e-10       1.719897681074e-13       3.329281169989e-14 
  351       3.267891187609e-10       1.701358952028e-13       3.272065807625e-14 
  352       3.236182694125e-10       1.683074707959e-13       3.215552030634e-14 
  353       3.204956903380e-10       1.665041680002e-13       3.159735991034e-14 
  354       3.174220362622e-10       1.647256397152e-13       3.104613398259e-14 
  355       3.143979533392e-10       1.629715184462e-13       3.050179514997e-14 
  356       3.114240790249e-10       1.612414161242e-13       2.996429153036e-14 
  357       3.085010419489e-10       1.595349239253e-13       2.943356669100e-14 
  358       3.056294617860e-10       1.578516120909e-13       2.890955960691e-14 
  359       3.028099491284e-10       1.561910297473e-13       2.839220461928e-14 
  360       3.000431053576e-10       1.545527047251e-13       2.788143139388e-14 
  361       2.973295225162e-10       1.529361433795e-13       2.737716487948e-14 
  362       2.946697831798e-10       1.513408304097e-13       2.687932526622e-14 
  363       2.920644603290e-10       1.497662286789e-13       2.638782794405e-14 
  364       2.895141172212e-10       1.482117790335e-13       2.590258346109e-14 
  365       2.870193072627e-10       1.466769001238e-13       2.542349748208e-14 
  366       2.845805738802e-10       1.451609882227e-13       2.495047074674e-14 
  367       2.821984503933e-10       1.436634170464e-13       2.448339902820e-14 
  368       2.798734598857e-10       1.421835375733e-13       2.402217309141e-14 
  369       2.776061150777e-10       1.407206778645e-13       2.356667865151e-14 
  370       2.753969181979e-10       1.392741428829e-13       2.311679633226e-14 
  371       2.732463035675e-10       1.378433381550e-13       2.267242439261e-14 
  372       2.711544631395e-10       1.364281464552e-13       2.223354797148e-14 
