# Matter power spectrum P(k) at redshift z=0
# for k=1.09407e-05 to 1.13086 h/Mpc,
# number of wavenumbers equal to 601
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.753195120464e-01       8.887850349191e+01 
       4.786950071740e-01       8.739063233627e+01 
       4.820705025118e-01       8.592679498138e+01 
       4.854459980555e-01       8.448628917046e+01 
       4.888214938007e-01       8.307012973940e+01 
       4.921969897434e-01       8.167897406708e+01 
       4.955724858794e-01       8.031355915378e+01 
       4.989479822048e-01       7.897476801057e+01 
       5.023234787158e-01       7.766439251039e+01 
       5.056989754087e-01       7.638387127618e+01 
       5.090744722799e-01       7.513562548339e+01 
       5.124499693257e-01       7.392143400435e+01 
       5.158254665428e-01       7.274246348447e+01 
       5.192009639278e-01       7.159890572021e+01 
       5.225764614774e-01       7.048882918275e+01 
       5.259519591885e-01       6.940976009933e+01 
       5.293274570580e-01       6.835886063501e+01 
       5.327029550828e-01       6.733386078328e+01 
       5.360784532601e-01       6.633211960272e+01 
       5.394539515868e-01       6.535266278277e+01 
       5.428294500603e-01       6.439346430409e+01 
       5.462049486778e-01       6.345327420811e+01 
       5.495804474367e-01       6.253017038880e+01 
       5.529559463343e-01       6.162241831649e+01 
       5.563314453681e-01       6.072991900547e+01 
       5.597069445356e-01       5.985223696798e+01 
       5.630824438345e-01       5.898984910439e+01 
       5.664579432624e-01       5.814362644687e+01 
       5.698334428169e-01       5.731436977067e+01 
       5.732089424959e-01       5.650272913312e+01 
       5.765844422971e-01       5.570882895883e+01 
       5.799599422184e-01       5.493175074837e+01 
       5.833354422577e-01       5.417099090879e+01 
       5.867109424130e-01       5.342680409078e+01 
       5.900864426822e-01       5.269884301901e+01 
       5.934619430635e-01       5.198693499133e+01 
       5.968374435549e-01       5.129097655560e+01 
       6.002129441545e-01       5.061013904804e+01 
       6.035884448606e-01       4.994343320349e+01 
       6.069639456713e-01       4.928988451478e+01 
       6.103394465850e-01       4.864825813918e+01 
       6.137149475998e-01       4.801783360721e+01 
