# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
  333       3.915063776163e-10       2.076217121971e-13       4.410953915007e-14 
  334       3.876228356189e-10       2.053039151649e-13       4.341631569866e-14 
  335       3.837745235876e-10       2.030142056337e-13       4.273012541233e-14 
  336       3.799622156284e-10       2.007525727755e-13       4.205099868618e-14 
  337       3.761866793413e-10       1.985189886126e-13       4.137896219659e-14 
  338       3.724486756908e-10       1.963134078375e-13       4.071403885966e-14 
  339       3.687489588761e-10       1.941357676323e-13       4.005624778963e-14 
  340       3.650882762016e-10       1.919859874888e-13       3.940560425722e-14 
  341       3.614673679476e-10       1.898639690280e-13       3.876211964811e-14 
  342       3.578869672402e-10       1.877695958201e-13       3.812580142128e-14 
  343       3.543477999219e-10       1.857027332040e-13       3.749665306745e-14 
  344       3.508505844219e-10       1.836632281072e-13       3.687467406746e-14 
  345       3.473960316268e-10       1.816509088654e-13       3.625985985070e-14 
  346       3.439848447506e-10       1.796655850427e-13       3.565220175348e-14 
  347       3.406177192051e-10       1.777070472506e-13       3.505168697747e-14 
  348       3.372953424708e-10       1.757750669684e-13       3.445829854808e-14 
  349       3.340183939665e-10       1.738693963628e-13       3.387201527285e-14 
  350       3.307875449204e-10       1.719897681074e-13       3.329281169989e-14 
  351       3.276034582400e-10       1.701358952028e-13       3.272065807625e-14 
  352       3.244667883829e-10       1.683074707959e-13       3.215552030634e-14 
  353       3.213781812267e-10       1.665041680002e-13       3.159735991034e-14 
  354       3.183382739398e-10       1.647256397152e-13       3.104613398259e-14 
  355       3.153476948516e-10       1.629715184462e-13       3.050179514997e-14 
  356       3.124070633231e-10       1.612414161242e-13       2.996429153036e-14 
  357       3.095169896167e-10       1.595349239253e-13       2.943356669100e-14 
  358       3.066780747674e-10       1.578516120909e-13       2.890955960691e-14 
  359       3.038909104526e-10       1.561910297473e-13       2.839220461928e-14 
  360       3.011560788628e-10       1.545527047251e-13       2.788143139388e-14 
  361       2.984741525716e-10       1.529361433795e-13       2.737716487948e-14 
  362       2.958456944067e-10       1.513408304097e-13       2.687932526622e-14 
  363       2.932712573197e-10       1.497662286789e-13       2.638782794405e-14 
  364       2.907513842567e-10       1.482117790335e-13       2.590258346109e-14 
  365       2.882866080290e-10       1.466769001238e-13       2.542349748208e-14 
  366       2.858774511828e-10       1.451609882227e-13       2.495047074674e-14 
  367       2.835244258703e-10       1.436634170464e-13       2.448339902820e-14 
  368       2.812280337195e-10       1.421835375733e-13       2.402217309141e-14 
  369       2.789887657053e-10       1.407206778645e-13       2.356667865151e-14 
  370       2.768071020189e-10       1.392741428829e-13       2.311679633226e-14 
  371       2.746834569502e-10       1.378433381550e-13       2.267242439261e-14 
